register,rw,mixer,card,content,comments
0x46,R/W,"","ESS AudioDrive","Serial Mode Miscellaneous Analog Control","(ES1868)\nBit 7 Analog control override\n1 = bits 6:0 of this register take effect during Serial Mode. 0 = bits 6:0 do not ever take effect.\nBit 6: Reserved(0)\nBit 5 Left ADC: 1 = Left channel combined ADC and DAC is in ADC mode. 0 = Left channel combined ADC and DAC is in DAC mode.\nBit 4: Right ADC: 1 = Right channel combined ADC and DAC is in ADC mode. 0 = Right channel combined ADC and DAC is in DAC mode.\nBits 3-2: Analog Control bits 1:0. These special control signals control interconnections in the analog circuitry. They should be set appropriately for the application as follows: 0=Stereo wave playback or record 2=Full-duplex (mono record and playback) 3=Mono wave playback or record\nBit 1: FDXO enable 1 = Enables FDXO output connection to output pin FOUT_R (right channel filter output) 0 = FDXO has 50K pull-up to CMR.\nBit 0: FXDI: 1 = Enables FDXI input connection to left channel filter input and thus to the input of the left channel ADC. 0 = FDXI input has 50K pull-up to CMR. The left channel filter input and ADC comes from input volume stage as usual."
0x48,R/W,"","ESS AudioDrive","Serial Mode Miscellaneous Control","(ES1868)\nBit 7 SWSE: 1 = Force Serial Mode regardless of state of SE pin. 0 = Serial Mode controlled by SE pin.\nBit 6 2's comp: 1 = Data format is 2's complement. 0 = Data format is unsigned.\nBit 5 Serial reset: 1 = Reset serial register left/right toggle flags. 0 = Release reset.\nSerial Reset also inhibits FDXO connection to FOUT_R and “zeros” all shift registers.\nBit 4 Enable ES689/ES690 intfc: 1 = Enable ES689/ES690 to acquire FM DACs when serial activity present on pins MCLK and MSD. 0 = Prevent ES689/ES690 from acquiring FM DACs.\nBit 3 Active low sync: 1 = Sync pulses (FSR, FSX) are active-low.\nBits 2-0: Reserved(0)"
0x4C,R/W,"","ESS AudioDrive","Serial Mode Filter Divider","(ES1868)\nBit 7 Filter override: 1 = During Serial Mode, the filter clock is generated by dividing down the serial clock. 0 = During Serial Mode, the filter clock is generated as usual.\nBits 6-4: Reserved(0)\nBits 3-0 2’s complement filter divider: Bits 3:0 are a 2's complement value that divides down the serial clock. The ratio of the filter -3 dB frequency to the filter clock is approximately 1:41.\nExamples:\n02h (-14) External Serial Clock 2.048 MHz / 14 / 41 = 3568 Hz for 8000 Hz Sample Rate.\n0Eh (-2) Internal Serial Clock 1.591 MHz / 2 / 41 = 19.4kHz for 44,100 Sample Rate. Note that the sample rate divider is an integer multiple of the filter divide for 44,100, which gives maximum performance of DACs and ADCs."
0x4E,R/W,"","ESS AudioDrive","Serial Mode Format/Source/Target","(ES1868)\nBits 7-6 Transmit register source: 0=None: Transmit Register held at “Zero” code 1=FIFO 2=Left ADC or stereo ADC transmission 3=Right ADC\nBit 5 TX 16/8: 1 = Transmit length is 16 bits, unsigned 0 = Transmit length is 8 bits, unsigned\nBit 4 TX stereo/mono: 1 = Transmit mode is stereo. Left and right channels alternate, with left channel data preceding right channel data. 0 = Transmit mode is mono.\nBits 3-2 Receive Register Target: 0=None: Receive Register held at “Zero” code 1=FIFO 2=DAC (if mono, right channel receives data, left channel receives complement of data) 3=FM DAC (if mono, right channel receives data, left channel receives complement of data)\nBit 1 RX16/8: 1 = Receive length is 16 bits, unsigned 0 = Receive length is 8 bits, unsigned\nBit 0 RX stereo/mono: 1 = Receive mode is stereo. Left and right channels alternate, with left channel data preceding right channel data. 0 = Receive mode is mono."

0x64,R/W,"","ESS AudioDrive","",""
0x66,R/W,"","ESS AudioDrive","",""
0x74,R/W,"","ESS AudioDrive","",""
0x76,R/W,"","ESS AudioDrive","",""
0x78,R/W,"","ESS AudioDrive","",""
0x7A,R/W,"","ESS AudioDrive","",""

