command,param,dspver,card,effect,comments
0x31,,1.0+,,Interrupt mode MIDI input,"Input MIDI data from the MIDI port using interrupt mode. After sending this command, DSP will generate an interrupt to signal the application when there is any in-bound MIDI data.\nTo terminate this mode, send the command 31h again."
0x34,,2.0+,,UART polling mode MIDI I/O,"For MIDI UART mode, a read from the DSP is taken as reading MIDI data and a write to the DSP is taken as sending MIDI data.\nTo terminate MIDI UART mode, send a DSP reset command.\nThe DSP reset command behaves differently while the DSP is in MIDI UART mode. It terminates MIDI UART mode and restores all DSP parameters to the states prior to entering MIDI UART mode."
0x35,,2.0+,,UART interrupt mode MIDI I/O,"After sending this command, the DSP will generate an interrupt to signal the application when there is any in-bound MIDI data.\nRefer to command 34h on the characteristic of MIDI UART mode and on how to terminate it."
0x36,,2.0+,,UART polling mode MIDI I/O with time stamping,"For time stamping mode, in-bound MIDI data is tagged with a time stamp by the DSP. The time stamp is a 3-byte quantity in units of milliseconds.\nThe order of time stamped in-bound MIDI data is: nTime.LowByte, nTime.MidByte, nTime.HighByte, bMidiData\nRefer to command 34h on the characteristics of MIDI UART mode and on how to terminate it."
0x37,,2.0+,,UART interrupt mode MIDI I/O with time stamping,"After sending this command, the DSP will generate an interrupt to signal the
application when there is any in-bound MIDI data. In-bound MIDI data is time stamped by the DSP.\nRefer to command 34h on the characteristics of MIDI UART mode and on how to terminate it.\nRefer to command 36h on MIDI time stamping mode."
0x38,nn,1.0+,,MIDI output,"Output MIDI data to the MIDI port in non-UART mode.\nnn is the MIDI data byte"
0x40,nn,1.0+,,Set digitized sound transfer Time Constant,"Set the digitized sound I/O transfer Time Constant. Time Constant is the sampling rate representation used by the DSP. It is calculated as:\n\n
Time Constant = 65536 - (256 000 000/(channels * sampling rate))\n\n
The channels parameter is 1 for mono, 2 for stereo. Only the high byte of the result is sent to the DSP."
0x41,hi lo,4.0+,,Set digitized sound output sampling rate,"sample rate = 16-bit value from hi,lo in Hz.\n\nValid sampling rates range from 5000 to 45,000 Hz inclusive.\n
Unlike the Time Constant, there is no need to pre-multiply the sampling rate by two before programming the sampling rate for stereo digitized sound I/O."
0x42,hi lo,4.0+,,Set digitized sound input sampling rate,"sample rate = 16-bit value from hi,lo in Hz.\n\nValid sampling rates range from 5000 to 45,000 Hz inclusive.\n
Unlike the Time Constant, there is no need to pre-multiply the sampling rate by two before programming the sampling rate for stereo digitized sound I/O."
0x48,lo hi,2.0+,,Set DSP block transfer size,"The DSP will generate an interrupt after transferring the block of data.\nThis command is used with high-speed mode and auto-init DMA mode."
0x74,lo hi,1.0+,,Creative 8-bit to 4-bit ADPCM single-cycle DMA mode digitized sound output,"Refer to command 16h"
0x75,lo hi,1.0+,,Creative 8-bit to 4-bit ADPCM single-cycle DMA mode digitized sound output with reference byte,"Refer to command 17h."
0x76,lo hi,1.0+,,Creative 8-bit to 3-bit ADPCM single-cycle DMA mode digitized sound output,"Refer to command 16h."
0x77,lo hi,1.0+,,Creative 8-bit to 3-bit ADPCM single-cycle DMA mode digitized sound output with reference byte,"Refer to command 17h."
0x7D,,2.0+,,Creative 8-bit to 4-bit ADPCM auto-init DMA mode digitized sound output with reference byte,"Refer to command 1Fh."
0x7F,,2.0+,,Creative 8-bit to 3-bit ADPCM auto-init DMA mode digitized sound output with reference byte,"Refer to command 1Fh."
0x80,lo hi,1.0+,,Pause DAC for a duration,"wDuration (16-bit value given as lo,hi) is a word giving the duration to pause in the units of sampling period less 1. When the specified duration elapses, the DSP generates an interrupt."
0x90,,2.01-3.xx,,8-bit high-speed auto-init DMA mode digitized sound output,"The DSP will generate an interrupt to signal the application after transferring every Block Size of data set by command 48h. In high-speed mode, the DSP will not accept any other commands. To terminate high-speed mode, send a DSP reset command.\nThe DSP reset command behaves differently while the DSP is in high-speed mode. It terminates high-speed mode and restores all DSP parameters to the states prior to entering the high-speed mode."
0x91,,2.01-3.xx,,8-bit high-speed single-cycle DMA mode digitized sound input,"After transferring a block of data of size set by command 48h, the DSP will generate an interrupt to signal the application and exit the high-speed mode."
0x98,,2.01-3.xx,,8-bit high-speed auto-init DMA mode digitized sound input,"Refer to command 90h."
0x99,,2.01-3.xx,,8-bit high-speed single-cycle DMA mode digitized sound input,"Refer to command 91h."
0xA0,,3.xx,,Set input mode to mono,"Configure the Sound Blaster Pro DSP to record in mono\nThe default input mode is mono"
0xA8,,3.xx,,Set input mode to stereo,"This command must be sent if stereo recording is desired. After recording, command A0h must be sent to set the input mode back to mono.\nThis command no longer exists on DSP version 4.xx. Refer to commands Bxh and Cxh on stereo recording settings."

