register,rw,mixer,card,content,comments
0x32,R/W,"CT1745","Sound Blaster 16","DAC Level Left","Bits 7-3 (SB16): Left DAC Level (2dB)\nBits 2-0: Reserved(0)\n\nDEFAULT: N/A, 0C0h\n\nSoundBlaster 16 will automatically transfer bits 7-4 to bits 7-4 of register 024h.\nSoundBlaster Pro selects register 022h for 032h."
0x33,R/W,"CT1745","Sound Blaster 16","DAC Level Right","Bits 7-3 (SB16): Right DAC Level (2dB)\nBits 2-0: Reserved(0)\n\nDEFAULT: N/A, 0C0h\n\nSoundBlaster 16 will automatically transfer bits 7-4 to bits 3-0 of register 024h."
0x34,R/W,"CT1745","Sound Blaster 16","FM Level Left","Bits 7-3 (SB16): Left FM Level (2dB)\nBits 2-0: Reserved(0)\n\nDEFAULT: N/A, 0C0h\n\nSoundBlaster 16 will automatically transfer bits 7-4 to bits 7-4 of register 026h."
0x35,R/W,"CT1745","Sound Blaster 16","FM Level Right","Bits 7-3 (SB16): Right FM Level (2dB)\nBits 2-0: Reserved(0)\n\nDEFAULT: N/A, 0C0h\n\nSoundBlaster 16 will automatically transfer bits 7-4 to bits 3-0 of register 026h."
0x36,R/W,"CT1745","Sound Blaster 16","CD Audio Level Left","Bits 7-3 (SB16): Left CD Audio Level (2dB)\nBits 2-0: Reserved(0)\n\nDEFAULT: N/A, 000h\n\nSoundBlaster 16 will automatically transfer bits 7-4 to bits 7-4 of register 028h.\nSoundBlaster Pro selects register 026h for 036h."
0x37,R/W,"CT1745","Sound Blaster 16","CD Audio Level Right","Bits 7-3 (SB16): Right CD Audio Level (2dB)\nBits 2-0: Reserved(0)\n\nDEFAULT: N/A, 000h\n\nSoundBlaster 16 will automatically transfer bits 7-4 to bits 3-0 of register 028h."
0x38,R/W,"CT1745","Sound Blaster 16","Line In Level Left","Bits 7-3 (SB16): Left Line In Level (2dB)\nBits 2-0: Reserved(0)\n\nDEFAULT: N/A, 000h\n\nSoundBlaster 16 will automatically transfer bits 7-4 to bits 7-4 of register 02Eh.\nSoundBlaster Pro selects register 028h for 038h."
0x39,R/W,"CT1745","Sound Blaster 16","Line In Level Right","Bits 7-3 (SB16): Right Line In Level (2dB)\nBits 2-0: Reserved(0)\n\nDEFAULT: N/A, 000h\n\nSoundBlaster 16 will automatically transfer bits 7-4 to bits 3-0 of register 02Eh."
0x3A,R/W,"CT1745","Sound Blaster 16","Microphone Level","Bits 7-3 (SB16): Microphone Level (2dB)\nBits 2-0: Reserved(0)\n\nDEFAULT: N/A, 000h"
0x3B,R/W,"CT1745","Sound Blaster 16","PC Speaker Level","Bits 7-6 (SB16): PC Speaker Level (2dB)\nBits 5-0: Reserved(0)\n\nDEFAULT: N/A, 000h"
0x3C,R/W,"CT1745","Sound Blaster 16","Output Control","Bits 7-5 (SB16): Reserved(0)\nBit 4 (SB16): Left Line In (0=off 1=on)\nBit 3 (SB16): Right Line In (0=off 1=on)\nBit 2 (SB16): Left CD Audio (0=off 1=on)\nBit 1 (SB16): Right CD Audio (0=off 1=on)\nBit 0 (SB16): Microphone (0=off 1=on)\n\nDEFAULT: N/A, 01Fh"
0x3D,R/W,"CT1745","Sound Blaster 16","Input Control Left","Bit 7 (SB16): Reserved(0)\nBit 6 (SB16): Left FM (0=off 1=on)\nBit 5 (SB16): Right FM (0=off 1=on)\nBit 4 (SB16): Left Line In (0=off 1=on)\nBit 3 (SB16): Right Line In (0=off 1=on)\nBit 2 (SB16): Left CD Audio (0=off 1=on)\nBit 1 (SB16): Right CD Audio (0=off 1=on)\nBit 0 (SB16): Microphone (0=off 1=on)\n\nDEFAULT: N/A, 015h\n\nRegister controls remapping of left input channel (off, left, right, or left and right)"
0x3E,R/W,"CT1745","Sound Blaster 16","Input Control Right","Bit 7 (SB16): Reserved(0)\nBit 6 (SB16): Left FM (0=off 1=on)\nBit 5 (SB16): Right FM (0=off 1=on)\nBit 4 (SB16): Left Line In (0=off 1=on)\nBit 3 (SB16): Right Line In (0=off 1=on)\nBit 2 (SB16): Left CD Audio (0=off 1=on)\nBit 1 (SB16): Right CD Audio (0=off 1=on)\nBit 0 (SB16): Microphone (0=off 1=on)\n\nDEFAULT: N/A, 00Bh\n\nRegister controls remapping of right input channel (off, left, right, or left and right)\nSoundBlaster Pro selects register 02Eh for 03Eh."
0x3F,R/W,"CT1745","Sound Blaster 16","Input Gain Control Left","Bits 7-6 (SB16): Left Input Gain Control (2^x)\nBits 5-0 (SB16): Reserved(0)\n\nDEFAULT: N/A, 000h"
0x40,R/W,"CT1745","Sound Blaster 16","Input Gain Control Right","Bits 7-6 (SB16): Right Input Gain Control (2^x)\nBits 5-0 (SB16): Reserved(0)\n\nDEFAULT: N/A, 000h"
0x41,R/W,"CT1745","Sound Blaster 16","Output Gain Control Left","Bits 7-6 (SB16): Left Output Gain Control (2^x)\nBits 5-0 (SB16): Reserved(0)\n\nDEFAULT: N/A, 000h"
0x42,R/W,"CT1745","Sound Blaster 16","Output Gain Control Right","Bits 7-6 (SB16): Right Output Gain Control (2^x)\nBits 5-0 (SB16): Reserved(0)\n\nDEFAULT: N/A, 000h"
0x43,R/W,"CT1745","Sound Blaster 16","Automatic Gain Control (AGC)","Bits 7-1 (SB16): Reserved(0)\nBit 0 (SB16): Automatic Gain Control (1 = Enable)\n\nDEFAULT: N/A, 000h\n\nAutomatic Gain Control automatically maximizes input signal strength."
0x44,R/W,"CT1745","Sound Blaster 16","Treble Left","Bits 7-4 (SB16): Treble Left (2dB, -14dB to 14dB)\nBits 3-0 (SB16): Reserved(0)\n\nDEFAULT: N/A, 080h"
0x45,R/W,"CT1745","Sound Blaster 16","Treble Right","Bits 7-4 (SB16): Treble Right (2dB, -14dB to 14dB)\nBits 3-0 (SB16): Reserved(0)\n\nDEFAULT: N/A, 080h"
0x46,R/W,"CT1745","Sound Blaster 16","Bass Left","Bits 7-4 (SB16): Bass Left (2dB, -14dB to 14dB)\nBits 3-0 (SB16): Reserved(0)\n\nDEFAULT: N/A, 080h"
0x47,R/W,"CT1745","Sound Blaster 16","Bass Right","Bits 7-4 (SB16): Bass Right (2dB, -14dB to 14dB)\nBits 3-0 (SB16): Reserved(0)\n\nDEFAULT: N/A, 080h"
0x80,R/W,"CT1745","Sound Blaster 16","IRQ Select","Bits 7-4: Reserved(1)\nBit 3: IRQ10 (0 = Disable, 1 = Enable)\nBit 2: IRQ7  (0 = Disable, 1 = Enable)\nBit 1: IRQ5  (0 = Disable, 1 = Enable)\nBit 0: IRQ2  (0 = Disable, 1 = Enable)\n\nUnaffected by mixer reset or soft reboot.\nEnabling multiple bits enables multiple IRQs."
0x81,R/W,"CT1745","Sound Blaster 16","DMA Select","Bit 7: DMA7, 16-bit (0 = Disable, 1 = Enable)\nBit 6: DMA6, 16-bit (0 = Disable, 1 = Enable)\nBit 5: DMA5, 16-bit (0 = Disable, 1 = Enable)\nBit 4: DMA4, Reserved (0)\nBit 3: DMA3, 8-bit  (0 = Disable, 1 = Enable)\nBit 2: DMA2, Reserved (0)\nBit 1: DMA1, 8-bit  (0 = Disable, 1 = Enable)\nBit 0: DMA0, 8-bit  (0 = Disable, 1 = Enable)\n\nUnaffected by mixer reset or soft reboot.\nEnabling multiple 8 or 16-bit DMA bits enables multiple DMA channels.\nDisabling all 8-bit DMA channel bits disables 8-bit DMA requests, including translated 16-bit DMA requests.\nDisabling all 16-bit DMA channel bits enables translation of 16-bit DMA requests to 8-bit ones, using the selected 8-bit DMA channel."
0x82,R,"CT1745","Sound Blaster 16","IRQ Status","Bits 7-4: Unnamed (01h = v4.04, 02h = v4.05, 08h = v4.12)\nBit 3: Reserved(0)\nBit 2: IRQ Status, MPU-401 (1 = Active)\nBit 1: IRQ Status, 16-bit (1 = Active)\nBit 0: IRQ Status, 8-bit (1 = Active)"

